apple|Pomme|تفاحة
goalie,goalkeeper|Gardien de but|حارس مرمى
goggles|Lunettes de sport|نظارات رياضية
grass field,pitch|Pelouse|ملعب عشبي
guitar|Guitare|غيتار
gym|Salle de sport|قاعة رياضية
hand wraps|Bandes de boxe|لفافات اليد
harbor|Port|ميناء
hat|Chapeau|قبعة
headgear|Protection de tête|واقي الرأس
heavy bag,punching bag|Sac de frappe|كيس ملاكمة
helmet,helmets|Casque|خوذة
high jump|Saut en hauteur|قفز عال
high jumper|Sauteur en hauteur|لاعب قفز عال
hockey,ice hockey|Hockey sur glace|هوكي الجليد
hockey player|Hockeyeur|لاعب هوكي
hockey stick|Crosse de hockey|عصا هوكي
home plate|Marbre|قاعدة المنزل
hurdler|Coureur de haies|عداء حواجز
hurdles|Haies|حواجز سباق
ice|Glace|جليد
ice rink|Patinoire|حلبة جليد
infield|Champ intérieur|الملعب الداخلي
javelin|Javelot|رمح
javelin thrower|Lanceur de javelot|رامي الرمح
jumbotron|Écran géant|شاشة عملاقة
jump rope|Corde à sauter|حبل قفز
lake|Lac|بحيرة
landing mat|Tapis de réception|بساط هبوط
lane divider,lane rope|Ligne de nage|حبل فصل المسارات
lantern|Lanterne|فانوس
laptop|Ordinateur portable|حاسوب محمول
lifeguard|Maître-nageur|منقذ سباحة
lifeguard chair|Chaise de surveillance|كرسي المنقذ
lift station|Station de remontée|محطة مصعد
lighthouse|Phare|منارة
lockers|Casiers|خزائن
lodge|Refuge|نزل
long jump|Saut en longueur|قفز طويل
long jumper|Sauteur en longueur|لاعب قفز طويل
man|Homme|رجل
map|Carte|خريطة
market stall|Étal de marché|كشك سوق
milk|Lait|حليب
motorsport,racing|Sport automobile|سباق سيارات
mountain,mountains|Montagne|جبل
mug,mugs|Mug|كوب
net|Filet|شبكة
notebook|Cahier|دفتر
officials|Officiels|حكام رياضيون
orange juice|Jus d’orange|عصير برتقال
outfield|Champ extérieur|الملعب الخارجي
outfield fence|Clôture du champ extérieur|سياج الملعب الخارجي
palm trees|Palmiers|نخيل
paper|Papier|ورق
pavilion|Pavillon|جناح
penalty box|Banc de pénalité|منطقة العقوبة
pencil|Crayon|قلم رصاص
picnic basket|Panier de pique-nique|سلة نزهة
pigeons|Pigeons|حمام
pine trees|Pins|أشجار صنوبر
pit crew|Équipe technique|طاقم صيانة
pit lane|Voie des stands|ممر الصيانة
pit wall|Mur des stands|جدار الصيانة
pitcher|Lanceur|رامي الكرة
pitcher mound|Monticule du lanceur|تلة الرامي
plant,plants|Plante|نبات
players|Joueurs|لاعبون
podium|Podium|منصة تتويج
pole vault|Saut à la perche|قفز بالزانة
pole vaulter|Perchiste|لاعب قفز بالزانة
pool,swimming pool|Piscine|مسبح
pool ladder|Échelle de piscine|سلم مسبح
popcorn|Pop-corn|فشار
posters|Affiches|ملصقات
puck|Palet|قرص هوكي
race car,racing car|Voiture de course|سيارة سباق
racket,tennis racket|Raquette de tennis|مضرب تنس
referee|Arbitre|حكم
refrigerator|Réfrigérateur|ثلاجة
rim|Cercle du panier|حلقة السلة
ring ropes|Cordes du ring|حبال الحلبة
river|Rivière|نهر
runner,runners|Coureur|عداء
running track|Piste d’athlétisme|مضمار جري
safety barrier|Barrière de sécurité|حاجز أمان
safety net|Filet de sécurité|شبكة أمان
sailboat|Voilier|قارب شراعي
sand pit|Bac à sable|حفرة رمل
sandcastle|Château de sable|قلعة رملية
sandwich|Sandwich|شطيرة
scissors|Ciseaux|مقص
scooter|Scooter|دراجة نارية
scoreboard|Tableau de score|لوحة نتائج
sea|Mer|بحر
seagull|Mouette|نورس
shells|Coquillages|أصداف
shelves|Étagères|رفوف
shopping basket|Panier de courses|سلة تسوق
shopping cart|Chariot de courses|عربة تسوق
shovel|Pelle|مجرفة
sideline|Ligne de touche|خط التماس
skates|Patins|حذاء تزلج
ski jacket|Veste de ski|سترة تزلج
ski poles|Bâtons de ski|عصي تزلج
ski rack|Support à skis|حامل زلاجات
ski slope|Piste de ski|منحدر تزلج
skier|Skieur|متزلج
skiing|Ski|تزلج
skis|Skis|زلاجات
skyscrapers|Gratte-ciel|ناطحات سحاب
slalom gate|Porte de slalom|بوابة تعرج
snow|Neige|ثلج
snowboard|Snowboard|لوح تزلج
snowy mountain|Montagne enneigée|جبل ثلجي
soccer ball|Ballon de football|كرة قدم
speed bag|Poire de vitesse|كيس سرعة
spices|Épices|توابل
splashing water|Éclaboussures|رذاذ ماء
sprinting|Sprint|عدو سريع
squirrel|Écureuil|سنجاب
stadium|Stade|ملعب
starting block|Plot de départ|منصة انطلاق
station|Gare|محطة
stool|Tabouret|مقعد صغير
students|Élèves|طلاب
suitcase|Valise|حقيبة سفر
sunset|Coucher de soleil|غروب الشمس
surfboard|Planche de surf|لوح ركوب الأمواج
swim cap|Bonnet de bain|قبعة سباحة
swimmer|Nageur|سباح
swimming|Natation|سباحة
table|Table|طاولة
teacher|Professeur|معلم
team bench|Banc des remplaçants|مقاعد البدلاء
television|Télévision|تلفاز
tennis|Tennis|تنس
tennis bag|Sac de tennis|حقيبة تنس
tennis ball|Balle de tennis|كرة تنس
tennis court|Court de tennis|ملعب تنس
tennis net|Filet de tennis|شبكة تنس
tennis player|Joueur de tennis|لاعب تنس
tent|Tente|خيمة
tire stacks|Piles de pneus|أكوام إطارات
tires|Pneus|إطارات
toaster|Grille-pain|محمصة خبز
tomatoes|Tomates|طماطم
towel|Serviette|منشفة
traffic cones|Cônes de signalisation|مخاريط مرور
train|Train|قطار
travelers|Voyageurs|مسافرون
trees|Arbres|أشجار
trophies|Trophées|كؤوس
umbrella|Parapluie|مظلة
umpire|Arbitre|حكم
umpire chair|Chaise d’arbitre|كرسي حكم
vegetables|Légumes|خضروات
vending machine|Distributeur automatique|آلة بيع
vendor|Vendeur|بائع
water bottle|Bouteille d’eau|زجاجة ماء
water cooler|Fontaine à eau|مبرد ماء
waterfall|Cascade|شلال
window,windows|Fenêtre|نافذة
woman|Femme|امرأة
